aws,y,m,GroupCount,mean_gps_lat,mean_gps_lon
TAS_L,2022,9,25,65.63935708,-38.8990744
TAS_L,2023,5,31,65.6392873548387,-38.8991089032258
TAS_L,2023,6,30,65.6392744333333,-38.8991244
TAS_L,2023,7,31,65.6392493548387,-38.8991409677419
TAS_L,2023,8,31,65.639230032258,-38.8991552580645
TAS_L,2023,9,29,65.6392137931035,-38.899167862069
THU_L,2019,5,31,76.3998343225806,-68.2667460645161
THU_L,2019,6,30,76.3998340333333,-68.2667677333334
THU_L,2019,7,31,76.399834516129,-68.2668111612903
THU_L,2019,8,31,76.3998318709677,-68.2668718064516
THU_L,2019,9,6,76.3998293333333,-68.2668851666667
THU_L,2020,5,31,76.3998406129032,-68.266971516129
THU_L,2020,6,30,76.3998407333333,-68.266984
THU_L,2020,7,31,76.3998388709677,-68.2670058387097
THU_L,2020,8,29,76.399837137931,-68.2670382758621
THU_L,2020,9,2,76.3998375,-68.2670435
THU_L,2021,5,31,76.3998445483871,-68.2671296129032
THU_L,2021,6,30,76.3998440333333,-68.2671403
THU_L,2021,7,31,76.3998438387097,-68.2671519354839
THU_L,2021,8,31,76.3998428709677,-68.2671843225806
THU_L,2021,9,4,76.39984,-68.2671605
THU_L,2022,5,31,76.3998430322581,-68.2672431612903
THU_L,2022,6,30,76.3998416666666,-68.2672373333333
THU_L,2022,7,31,76.3998432903226,-68.2672787096774
THU_L,2022,8,31,76.3998429677419,-68.2673090967742
THU_L,2022,9,5,76.3998366,-68.2672958
